ithaID,HGVS,Tool,value,th_p,Sensitivity,LR+,LR+ 95% CI,Strength (Pathogenic),th_b,Specificity,LR-,LR- 95% CI,Strength (Benign),Correctly PV,% of correctly PV,th_class,call_p,call_b
834,HBB:c.26A>T,SpliceAI_DS,NA,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,NA,NA
835,HBB:c.26A>G,BayesDel_addAF_score,0.328992999999998,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,-1,-1
835,HBB:c.26A>G,CADD_PHRED,15.45,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,-1,0
835,HBB:c.26A>G,Eigen-PC-phred_coding,1.76102,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,-1,0
835,HBB:c.26A>G,GERP++_RS,4.11,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,-1
835,HBB:c.26A>G,MetaSVM_score,0.3472,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,-1,0
835,HBB:c.26A>G,phyloP100way_vertebrate,3.079,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,-1
835,HBB:c.26A>G,REVEL_score,0.665,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,-1,0
835,HBB:c.26A>G,SpliceAI_DS,0.02,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,1,-1
837,HBB:c.29C>A,BayesDel_addAF_score,0.285190999999998,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,-1,-1
837,HBB:c.29C>A,CADD_PHRED,0.84,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,-1,0
837,HBB:c.29C>A,Eigen-PC-phred_coding,0.02903824,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,-1,0
837,HBB:c.29C>A,GERP++_RS,-7.04,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,0
837,HBB:c.29C>A,MetaSVM_score,0.4778,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,-1,-1
837,HBB:c.29C>A,phyloP100way_vertebrate,-1.312,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,0
837,HBB:c.29C>A,REVEL_score,0.565999999999998,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,-1,0
837,HBB:c.29C>A,SpliceAI_DS,0,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,-1,0
838,HBB:c.29C>G,BayesDel_addAF_score,0.266156999999998,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,-1,-1
838,HBB:c.29C>G,CADD_PHRED,0.008,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,-1,0
838,HBB:c.29C>G,Eigen-PC-phred_coding,0.00961967499999999,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,-1,0
838,HBB:c.29C>G,GERP++_RS,-7.04,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,0
838,HBB:c.29C>G,MetaSVM_score,-0.463399999999998,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,-1,0
838,HBB:c.29C>G,phyloP100way_vertebrate,-1.312,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,0
838,HBB:c.29C>G,REVEL_score,0.527,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,-1,0
838,HBB:c.29C>G,SpliceAI_DS,NA,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,NA,NA
840,HBB:c.31G>A,BayesDel_addAF_score,0.0759191,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,-1,0
840,HBB:c.31G>A,CADD_PHRED,2.38899999999999,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,-1,0
840,HBB:c.31G>A,Eigen-PC-phred_coding,0.2942015,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,-1,0
840,HBB:c.31G>A,GERP++_RS,-2.00999999999999,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,0
840,HBB:c.31G>A,MetaSVM_score,-0.362499999999998,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,-1,0
840,HBB:c.31G>A,phyloP100way_vertebrate,-0.993,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,0
840,HBB:c.31G>A,REVEL_score,0.533,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,-1,0
840,HBB:c.31G>A,SpliceAI_DS,0.01,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,1,-1
841,HBB:c.32C>T,BayesDel_addAF_score,0.255361999999998,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,-1,-1
841,HBB:c.32C>T,CADD_PHRED,5.52299999999998,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,-1,0
841,HBB:c.32C>T,Eigen-PC-phred_coding,0.324533899999998,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,-1,0
841,HBB:c.32C>T,GERP++_RS,-2.12,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,0
841,HBB:c.32C>T,MetaSVM_score,-0.455799999999998,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,-1,0
841,HBB:c.32C>T,phyloP100way_vertebrate,0.122,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,0
841,HBB:c.32C>T,REVEL_score,0.568999999999998,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,-1,0
841,HBB:c.32C>T,SpliceAI_DS,0,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,-1,0
842,HBB:c.32C>A,BayesDel_addAF_score,0.317879,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,-1,-1
842,HBB:c.32C>A,CADD_PHRED,6.53399999999999,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,-1,0
842,HBB:c.32C>A,Eigen-PC-phred_coding,0.4779783,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,-1,0
842,HBB:c.32C>A,GERP++_RS,-2.12,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,0
842,HBB:c.32C>A,MetaSVM_score,0.0067,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,-1,0
842,HBB:c.32C>A,phyloP100way_vertebrate,0.122,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,0
842,HBB:c.32C>A,REVEL_score,0.558,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,-1,0
842,HBB:c.32C>A,SpliceAI_DS,0,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,-1,0
843,HBB:c.34G>A,BayesDel_addAF_score,0.0814609,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,-1,0
843,HBB:c.34G>A,CADD_PHRED,0.622,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,-1,0
843,HBB:c.34G>A,Eigen-PC-phred_coding,0.419689299999998,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,-1,0
843,HBB:c.34G>A,GERP++_RS,0.276,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,-1
843,HBB:c.34G>A,MetaSVM_score,-0.5866,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,-1,0
843,HBB:c.34G>A,phyloP100way_vertebrate,1.016,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,-1
843,HBB:c.34G>A,REVEL_score,0.521,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,-1,0
843,HBB:c.34G>A,SpliceAI_DS,0,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,-1,0
844,HBB:c.34G>T,BayesDel_addAF_score,0.440788,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,1,-1
844,HBB:c.34G>T,CADD_PHRED,17.3,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,1,-1
844,HBB:c.34G>T,Eigen-PC-phred_coding,1.431564,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,-1,0
844,HBB:c.34G>T,GERP++_RS,0.276,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,-1
844,HBB:c.34G>T,MetaSVM_score,0.4656,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,-1,-1
844,HBB:c.34G>T,phyloP100way_vertebrate,1.016,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,-1
844,HBB:c.34G>T,REVEL_score,0.633,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,-1,0
844,HBB:c.34G>T,SpliceAI_DS,0,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,-1,0
848,HBB:c.41C>A,BayesDel_addAF_score,0.0981145999999998,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,-1,0
848,HBB:c.41C>A,CADD_PHRED,0.343999999999998,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,-1,0
848,HBB:c.41C>A,Eigen-PC-phred_coding,0.1156785,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,-1,0
848,HBB:c.41C>A,GERP++_RS,-9.27,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,0
848,HBB:c.41C>A,MetaSVM_score,-0.77,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,-1,0
848,HBB:c.41C>A,phyloP100way_vertebrate,-2.192,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,0
848,HBB:c.41C>A,REVEL_score,0.543,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,-1,0
848,HBB:c.41C>A,SpliceAI_DS,0.01,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,1,-1
849,HBB:c.44T>C,BayesDel_addAF_score,0.459687,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,1,-1
849,HBB:c.44T>C,CADD_PHRED,24,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,1,-1
849,HBB:c.44T>C,Eigen-PC-phred_coding,3.47525899999999,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,1,-1
849,HBB:c.44T>C,GERP++_RS,4.12,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,-1
849,HBB:c.44T>C,MetaSVM_score,0.909499999999998,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,1,-1
849,HBB:c.44T>C,phyloP100way_vertebrate,3.636,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,-1
849,HBB:c.44T>C,REVEL_score,0.821999999999998,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,1,-1
849,HBB:c.44T>C,SpliceAI_DS,0.02,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,1,-1
850,HBB:c.44T>G,BayesDel_addAF_score,0.452635,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,1,-1
850,HBB:c.44T>G,CADD_PHRED,23.9,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,1,-1
850,HBB:c.44T>G,Eigen-PC-phred_coding,3.466238,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,1,-1
850,HBB:c.44T>G,GERP++_RS,4.12,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,-1
850,HBB:c.44T>G,MetaSVM_score,0.906499999999998,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,1,-1
850,HBB:c.44T>G,phyloP100way_vertebrate,3.636,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,-1
850,HBB:c.44T>G,REVEL_score,0.797,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,1,-1
850,HBB:c.44T>G,SpliceAI_DS,0.03,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,1,-1
851,HBB:c.46T>G,BayesDel_addAF_score,0.449039999999999,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,1,-1
851,HBB:c.46T>G,CADD_PHRED,25.7,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,1,-1
851,HBB:c.46T>G,Eigen-PC-phred_coding,7.49371,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,1,-1
851,HBB:c.46T>G,GERP++_RS,5.24,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,1,-1
851,HBB:c.46T>G,MetaSVM_score,1.0905,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,1,-1
851,HBB:c.46T>G,phyloP100way_vertebrate,5.413,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,-1
851,HBB:c.46T>G,REVEL_score,0.837999999999998,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,1,-1
851,HBB:c.46T>G,SpliceAI_DS,0.05,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,1,-1
853,HBB:c.49G>C,BayesDel_addAF_score,0.334268,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,-1,-1
853,HBB:c.49G>C,CADD_PHRED,17.7399999999998,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,1,-1
853,HBB:c.49G>C,Eigen-PC-phred_coding,1.300755,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,-1,0
853,HBB:c.49G>C,GERP++_RS,-0.212999999999999,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,0
853,HBB:c.49G>C,MetaSVM_score,0.0717,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,-1,0
853,HBB:c.49G>C,phyloP100way_vertebrate,-0.636,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,0
853,HBB:c.49G>C,REVEL_score,0.600999999999998,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,-1,0
853,HBB:c.49G>C,SpliceAI_DS,NA,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,NA,NA
854,HBB:c.50G>A,BayesDel_addAF_score,0.198455999999998,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,-1,0
854,HBB:c.50G>A,CADD_PHRED,15.04,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,-1,0
854,HBB:c.50G>A,Eigen-PC-phred_coding,1.19336,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,-1,0
854,HBB:c.50G>A,GERP++_RS,1.05,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,-1
854,HBB:c.50G>A,MetaSVM_score,-0.242299999999998,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,-1,0
854,HBB:c.50G>A,phyloP100way_vertebrate,-0.178,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,0
854,HBB:c.50G>A,REVEL_score,0.574999999999998,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,-1,0
854,HBB:c.50G>A,SpliceAI_DS,0,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,-1,0
856,HBB:c.52A>G,BayesDel_addAF_score,0.308282,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,-1,-1
856,HBB:c.52A>G,CADD_PHRED,24.8,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,1,-1
856,HBB:c.52A>G,Eigen-PC-phred_coding,7.23280499999999,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,1,-1
856,HBB:c.52A>G,GERP++_RS,5.24,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,1,-1
856,HBB:c.52A>G,MetaSVM_score,0.914,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,1,-1
856,HBB:c.52A>G,phyloP100way_vertebrate,5.559,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,-1
856,HBB:c.52A>G,REVEL_score,0.8529999999999979,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,1,-1
856,HBB:c.52A>G,SpliceAI_DS,0,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,-1,0
858,HBB:c.54G>C,BayesDel_addAF_score,0.132481999999998,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,-1,0
858,HBB:c.54G>C,CADD_PHRED,22.5,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,1,-1
858,HBB:c.54G>C,Eigen-PC-phred_coding,2.39164099999999,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,1,-1
858,HBB:c.54G>C,GERP++_RS,1.35,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,-1
858,HBB:c.54G>C,MetaSVM_score,0.6106,0.81,0.55,3.25,"[2.16, 4.89]",Supporting,0.46,0.6,0.38,"[0.3, 0.48]",Supporting,272,0.5654885654885655,above,-1,-1
858,HBB:c.54G>C,phyloP100way_vertebrate,0.21,7.32,0.15,17.8,"[2.5, 127]",Supporting,0.8,0.57,0.36,"[0.28, 0.46]",Supporting,130,0.2448210922787194,above,-1,0
858,HBB:c.54G>C,REVEL_score,0.652,0.77,0.63,3.05,"[2.12, 4.4]",Supporting,0.7,0.69,0.38,"[0.31, 0.47]",Supporting,309,0.6424116424116424,above,-1,0
858,HBB:c.54G>C,SpliceAI_DS,NA,0,0.88,3.24,"[2.76, 3.81]",Supporting,0,0.73,0.17,"[0.08, 0.33]",Supporting,492,0.7420814479638009,above,NA,NA
858,HBB:c.54G>T,BayesDel_addAF_score,0.132497,0.39,0.6,3.21,"[2.19, 4.72]",Supporting,0.23,0.44,0.35,"[0.26, 0.47]",Supporting,302,0.5687382297551788,above_closed,-1,0
858,HBB:c.54G>T,CADD_PHRED,22.4,16.3,0.82,2.59,"[2.1, 3.2]",Supporting,16.3,0.68,0.26,"[0.21, 0.31]",Supporting,703,0.7934537246049662,above,1,-1
858,HBB:c.54G>T,Eigen-PC-phred_coding,2.39164099999999,1.9,0.79,3,"[2.21, 4.07]",Supporting,1.9,0.74,0.28,"[0.22, 0.35]",Supporting,415,0.7815442561205274,above,1,-1
858,HBB:c.54G>T,GERP++_RS,1.35,4.22,0.44,4.33,"[2.51, 7.49]",Supporting,0.15,0.35,0.32,"[0.22, 0.46]",Supporting,225,0.423728813559322,above,-1,-1
